seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	6304085	6304218	134	*	X001489	390992	6304252	6305638	1387	+	33	upstream	33	HES3
chr1	6304309	6304458	150	*	X001490	390992	6304252	6305638	1387	+	0	inside	56	HES3
chr1	6304489	6304638	150	*	X001491	390992	6304252	6305638	1387	+	0	inside	236	HES3
chr1	6483080	6483259	180	*	X001513	83715	6484848	6521004	36157	+	1588	upstream	1588	ESPN
chr1	6483815	6483979	165	*	X001514	83715	6484848	6521004	36157	+	868	upstream	868	ESPN
chr1	6483987	6484241	255	*	X001515	83715	6484848	6521004	36157	+	606	upstream	606	ESPN
chr1	6484347	6484511	165	*	X001516	83715	6484848	6521004	36157	+	336	upstream	336	ESPN
chr1	6484347	6484511	165	*	X001516	54626	6472498	6484730	12233	-	0	inside	218	HES2
chr1	6484700	6484733	34	*	X001517	83715	6484848	6521004	36157	+	114	upstream	114	ESPN
chr1	6484700	6484733	34	*	X001517	54626	6472498	6484730	12233	-	0	overlapStart	0	HES2
chr1	6485112	6485246	135	*	X001518	83715	6484848	6521004	36157	+	0	inside	263	ESPN
chr1	6485112	6485246	135	*	X001518	54626	6472498	6484730	12233	-	381	upstream	381	HES2
chr1	6485518	6485877	360	*	X001519	54626	6472498	6484730	12233	-	787	upstream	787	HES2
chr1	6486028	6486341	314	*	X001520	54626	6472498	6484730	12233	-	1297	upstream	1297	HES2
chr1	6486493	6486672	180	*	X001521	54626	6472498	6484730	12233	-	1762	upstream	1762	HES2
chr1	6490201	6490287	87	*	X001525	100422975	6489894	6489956	63	-	244	upstream	244	MIR4252
chr1	6490303	6490571	269	*	X001526	100422975	6489894	6489956	63	-	346	upstream	346	MIR4252
chr1	6490946	6491097	152	*	X001527	100422975	6489894	6489956	63	-	989	upstream	989	MIR4252
chr1	6614004	6614168	165	*	X001551	80835	6615338	6639817	24480	+	1169	upstream	1169	TAS1R1
chr1	8086813	8087373	561	*	X001812	54206	8071779	8086393	14615	-	419	upstream	419	ERRFI1
chr1	8383596	8383687	92	*	X001813	50651	8384390	8404227	19838	+	702	upstream	702	SLC45A1
chr1	8383883	8384017	135	*	X001814	50651	8384390	8404227	19838	+	372	upstream	372	SLC45A1
chr1	8384108	8384257	150	*	X001815	50651	8384390	8404227	19838	+	132	upstream	132	SLC45A1
chr1	8384268	8384477	210	*	X001816	50651	8384390	8404227	19838	+	0	overlapStart	0	SLC45A1
chr1	8384490	8384572	83	*	X001817	50651	8384390	8404227	19838	+	0	inside	99	SLC45A1
chr1	9004019	9004153	135	*	X001840	765	9005893	9035148	29256	+	1739	upstream	1739	CA6
chr1	9005804	9005923	120	*	X001841	765	9005893	9035148	29256	+	0	overlapStart	0	CA6
chr1	9150429	9150683	255	*	X001853	6518	9097005	9148510	51506	-	1918	upstream	1918	SLC2A5
chr1	9709825	9709944	120	*	X001909	5293	9711790	9789172	77383	+	1845	upstream	1845	PIK3CD
chr1	9710755	9710874	120	*	X001910	5293	9711790	9789172	77383	+	915	upstream	915	PIK3CD
chr1	9711375	9711479	105	*	X001911	5293	9711790	9789172	77383	+	310	upstream	310	PIK3CD
chr1	9711625	9711636	12	*	X001912	5293	9711790	9789172	77383	+	153	upstream	153	PIK3CD
chr1	9711676	9711819	144	*	X001913	5293	9711790	9789172	77383	+	0	overlapStart	0	PIK3CD
chr1	9711865	9711937	73	*	X001914	5293	9711790	9789172	77383	+	0	inside	74	PIK3CD
chr1	9714645	9714879	235	*	X001918	644997	9712668	9714644	1977	-	0	upstream	0	PIK3CD-AS1
chr1	9970734	9970827	94	*	X001926	56998	9908334	9970316	61983	-	417	upstream	417	CTNNBIP1
chr1	10057136	10057193	58	*	X001927	116362	10057255	10076078	18824	+	61	upstream	61	RBP7
chr1	10093107	10093305	199	*	X001928	10277	10093041	10241296	148256	+	0	inside	65	UBE4B
chr1	10535252	10535299	48	*	X001930	5195	10535003	10690815	155813	+	0	inside	248	PEX14
chr1	11041953	11041975	23	*	X002095	148345	11006530	11042094	35565	-	0	inside	118	C1orf127
chr1	11042081	11042215	135	*	X002096	148345	11006530	11042094	35565	-	0	overlapStart	0	C1orf127
chr1	11120429	11120590	162	*	X002098	6723	11114649	11120091	5443	-	337	upstream	337	SRM
chr1	11322281	11322390	110	*	X002100	2475	11166588	11322608	156021	-	0	inside	217	MTOR
chr1	11539582	11539645	64	*	X002190	57540	11539295	11597640	58346	+	0	inside	286	DISP3
chr1	11751069	11751269	201	*	X002284	374946	11751781	11780336	28556	+	511	upstream	511	DRAXIN
chr1	11752034	11752242	209	*	X002285	374946	11751781	11780336	28556	+	0	inside	252	DRAXIN
chr1	11752034	11752242	209	*	X002285	10459	11734537	11751678	17142	-	355	upstream	355	MAD2L2
chr1	11752648	11752812	165	*	X002286	10459	11734537	11751678	17142	-	969	upstream	969	MAD2L2
chr1	11752964	11753157	194	*	X002287	10459	11734537	11751678	17142	-	1285	upstream	1285	MAD2L2
chr1	11753608	11753663	56	*	X002288	10459	11734537	11751678	17142	-	1929	upstream	1929	MAD2L2
chr1	11796222	11796555	334	*	X002321	57085	11796142	11810828	14687	+	0	inside	79	AGTRAP
chr1	11866607	11866609	3	*	X002338	4524	11845787	11866160	20374	-	446	upstream	446	MTHFR
chr1	11919159	11919369	211	*	X002341	4879	11917521	11918992	1472	-	166	upstream	166	NPPB
chr1	11994215	11994349	135	*	X002351	5351	11994724	12035599	40876	+	374	upstream	374	PLOD1
chr1	11995008	11995114	107	*	X002352	5351	11994724	12035599	40876	+	0	inside	283	PLOD1
chr1	12121825	12121959	135	*	X002369	943	12123434	12204264	80831	+	1474	upstream	1474	TNFRSF8
chr1	12123159	12123418	260	*	X002370	943	12123434	12204264	80831	+	15	upstream	15	TNFRSF8
chr1	12123710	12124003	294	*	X002371	943	12123434	12204264	80831	+	0	inside	275	TNFRSF8
chr1	12224942	12225106	165	*	X002414	7133	12227060	12269277	42218	+	1953	upstream	1953	TNFRSF1B
chr1	12225707	12225841	135	*	X002415	7133	12227060	12269277	42218	+	1218	upstream	1218	TNFRSF1B
chr1	12225911	12226030	120	*	X002416	7133	12227060	12269277	42218	+	1029	upstream	1029	TNFRSF1B
chr1	12250026	12250109	84	*	X002442	100616438	12251762	12251839	78	+	1652	upstream	1652	MIR4632
chr1	12251376	12251690	315	*	X002443	100616438	12251762	12251839	78	+	71	upstream	71	MIR4632
chr1	12251751	12251930	180	*	X002444	100616438	12251762	12251839	78	+	0	includeFeature	0	MIR4632
chr1	12678812	12678931	120	*	X002453	9249	12627939	12677820	49882	-	991	upstream	991	DHRS3
chr1	12704810	12705122	313	*	X002456	343066	12704566	12727097	22532	+	0	inside	243	AADACL4
chr1	12833112	12833306	195	*	X002465	390999	12834984	12838048	3065	+	1677	upstream	1677	PRAMEF12
chr1	13840482	13840608	127	*	X002486	126755	13801445	13840242	38798	-	239	upstream	239	LRRC38
chr1	13841646	13841808	163	*	X002487	126755	13801445	13840242	38798	-	1403	upstream	1403	LRRC38
chr1	13909268	13909300	33	*	X002501	10630	13910252	13944452	34201	+	951	upstream	951	PDPN
chr1	13909662	13909741	80	*	X002502	10630	13910252	13944452	34201	+	510	upstream	510	PDPN
chr1	15573166	15573330	165	*	X002642	114827	15573768	15726778	153011	+	437	upstream	437	FHAD1
chr1	15573346	15573482	137	*	X002643	114827	15573768	15726778	153011	+	285	upstream	285	FHAD1
chr1	15734345	15734554	210	*	X002671	79180	15736391	15756839	20449	+	1836	upstream	1836	EFHD2
chr1	15735665	15735904	240	*	X002672	79180	15736391	15756839	20449	+	486	upstream	486	EFHD2
chr1	15735965	15736041	77	*	X002673	79180	15736391	15756839	20449	+	349	upstream	349	EFHD2
chr1	15851803	15852066	264	*	X002678	842	15817324	15851285	33962	-	517	upstream	517	CASP9
chr1	15851803	15852066	264	*	X002678	23341	15853352	15918874	65523	+	1285	upstream	1285	DNAJC16
chr1	15852157	15852291	135	*	X002679	842	15817324	15851285	33962	-	871	upstream	871	CASP9
chr1	15852157	15852291	135	*	X002679	23341	15853352	15918874	65523	+	1060	upstream	1060	DNAJC16
chr1	15944100	15944115	16	*	X002680	84301	15943953	15987552	43600	+	0	inside	146	DDI2
chr1	15944251	15944625	375	*	X002681	84301	15943953	15987552	43600	+	0	inside	297	DDI2
chr1	16082221	16082370	150	*	X002687	54751	16083154	16113084	29931	+	783	upstream	783	FBLIM1
chr1	16082412	16082426	15	*	X002688	54751	16083154	16113084	29931	+	727	upstream	727	FBLIM1
chr1	16175247	16175449	203	*	X002692	729614	16160710	16174642	13933	-	604	upstream	604	FLJ37453
chr1	16343477	16344000	524	*	X002712	1187	16345370	16360545	15176	+	1369	upstream	1369	CLCNKA
chr1	16344312	16344461	150	*	X002713	1187	16345370	16360545	15176	+	908	upstream	908	CLCNKA
chr1	16345377	16345635	259	*	X002714	1187	16345370	16360545	15176	+	0	inside	6	CLCNKA
chr1	16346097	16346445	349	*	X002715	27129	16340523	16346089	5567	-	7	upstream	7	HSPB7
chr1	16346952	16347195	244	*	X002716	27129	16340523	16346089	5567	-	862	upstream	862	HSPB7
chr1	16347267	16347343	77	*	X002717	27129	16340523	16346089	5567	-	1177	upstream	1177	HSPB7
chr1	16354592	16354807	216	*	X002723	1188	16355621	16383821	28201	+	813	upstream	813	CLCNKB
chr1	16354850	16355281	432	*	X002724	1188	16355621	16383821	28201	+	339	upstream	339	CLCNKB
chr1	16355307	16355419	113	*	X002725	1188	16355621	16383821	28201	+	201	upstream	201	CLCNKB
chr1	16355774	16355951	178	*	X002726	1188	16355621	16383821	28201	+	0	inside	152	CLCNKB
chr1	16400291	16400475	185	*	X002765	348487	16384264	16400127	15864	-	163	upstream	163	FAM131C
chr1	16400626	16400760	135	*	X002766	348487	16384264	16400127	15864	-	498	upstream	498	FAM131C
chr1	16539264	16539279	16	*	X002805	128272	16524599	16539104	14506	-	159	upstream	159	ARHGEF19
chr1	16970595	16970677	83	*	X002814	11209	16972069	16976915	4847	+	1391	upstream	1391	MST1P2
chr1	16970783	16971007	225	*	X002815	11209	16972069	16976915	4847	+	1061	upstream	1061	MST1P2
chr1	16970783	16971007	225	*	X002815	84809	16944751	16971178	26428	-	0	inside	170	CROCCP2
chr1	16971023	16971182	160	*	X002816	11209	16972069	16976915	4847	+	886	upstream	886	MST1P2
chr1	16971023	16971182	160	*	X002816	84809	16944751	16971178	26428	-	0	overlapStart	0	CROCCP2
chr1	17307689	17308018	330	*	X002829	4237	17300999	17308081	7083	-	0	inside	62	MFAP2
chr1	17380449	17380503	55	*	X002833	6390	17345225	17380665	35441	-	0	inside	161	SDHB
chr1	17445445	17445665	221	*	X002850	11240	17393256	17445948	52693	-	0	inside	282	PADI2
chr1	17446859	17446875	17	*	X002851	11240	17393256	17445948	52693	-	910	upstream	910	PADI2
chr1	17446887	17447066	180	*	X002852	11240	17393256	17445948	52693	-	938	upstream	938	PADI2
chr1	17447172	17447235	64	*	X002853	11240	17393256	17445948	52693	-	1223	upstream	1223	PADI2
chr1	17698329	17698448	120	*	X002900	353238	17698741	17728195	29455	+	292	upstream	292	PADI6
chr1	17767151	17767377	227	*	X002914	55920	17733251	17766250	33000	-	900	upstream	900	RCC2
chr1	17846613	17846649	37	*	X002917	55160	17846827	18024370	177544	+	177	upstream	177	ARHGEF10L
chr1	18432972	18433150	179	*	X003000	84966	18434240	18704977	270738	+	1089	upstream	1089	IGSF21
chr1	18433872	18434112	241	*	X003001	84966	18434240	18704977	270738	+	127	upstream	127	IGSF21
chr1	18955823	18955890	68	*	X003104	5081	18957500	19075360	117861	+	1609	upstream	1609	PAX7
chr1	18956045	18956284	240	*	X003105	5081	18957500	19075360	117861	+	1215	upstream	1215	PAX7
chr1	18956303	18956542	240	*	X003106	5081	18957500	19075360	117861	+	957	upstream	957	PAX7
chr1	18956855	18956969	115	*	X003107	5081	18957500	19075360	117861	+	530	upstream	530	PAX7
chr1	18957365	18957442	78	*	X003108	5081	18957500	19075360	117861	+	57	upstream	57	PAX7
chr1	18957515	18957649	135	*	X003109	5081	18957500	19075360	117861	+	0	inside	14	PAX7
chr1	18957653	18957757	105	*	X003110	5081	18957500	19075360	117861	+	0	inside	152	PAX7
chr1	18957788	18957835	48	*	X003111	5081	18957500	19075360	117861	+	0	inside	287	PAX7
chr1	19186355	19186419	65	*	X003261	80834	19166093	19186155	20063	-	199	upstream	199	TAS1R2
chr1	19188136	19188245	110	*	X003262	80834	19166093	19186155	20063	-	1980	upstream	1980	TAS1R2
chr1	19578550	19578660	111	*	X003293	23065	19542158	19578053	35896	-	496	upstream	496	EMC1
chr1	19637439	19637492	54	*	X003294	54896	19638740	19658922	20183	+	1247	upstream	1247	SLC66A1
chr1	19969720	19969873	154	*	X003298	4681	19969723	19984949	15227	+	0	overlapStart	0	NBL1
chr1	19989756	19989880	125	*	X003303	3362	19991780	20006055	14276	+	1899	upstream	1899	HTR6
chr1	19991151	19991400	250	*	X003304	3362	19991780	20006055	14276	+	379	upstream	379	HTR6
chr1	19991871	19991995	125	*	X003305	3362	19991780	20006055	14276	+	0	inside	90	HTR6
chr1	20445879	20446007	129	*	X003331	26279	20439143	20446059	6917	-	0	inside	51	PLA2G2D
chr1	20502865	20502919	55	*	X003337	391013	20490484	20501687	11204	-	1177	upstream	1177	PLA2G2C
chr1	20512216	20512384	169	*	X003338	127733	20512578	20519942	7365	+	193	upstream	193	UBXN10
chr1	20512779	20512785	7	*	X003339	127733	20512578	20519942	7365	+	0	inside	200	UBXN10
chr1	20616037	20616216	180	*	X003366	127731	20617412	20681387	63976	+	1195	upstream	1195	VWA5B1
chr1	20617059	20617178	120	*	X003367	127731	20617412	20681387	63976	+	233	upstream	233	VWA5B1
chr1	20617254	20617346	93	*	X003368	127731	20617412	20681387	63976	+	65	upstream	65	VWA5B1
chr1	20617392	20617403	12	*	X003369	127731	20617412	20681387	63976	+	8	upstream	8	VWA5B1
chr1	20617614	20617893	280	*	X003370	127731	20617412	20681387	63976	+	0	inside	201	VWA5B1
chr1	21044817	21044951	135	*	X003462	57576	20990507	21044317	53811	-	499	upstream	499	KIF17
chr1	21044980	21045018	39	*	X003463	57576	20990507	21044317	53811	-	662	upstream	662	KIF17
chr1	21045880	21046014	135	*	X003464	57576	20990507	21044317	53811	-	1562	upstream	1562	KIF17
chr1	21672388	21672567	180	*	X003471	1889	21543740	21672034	128295	-	353	upstream	353	ECE1
chr1	21672688	21672837	150	*	X003472	1889	21543740	21672034	128295	-	653	upstream	653	ECE1
chr1	21673123	21673242	120	*	X003473	1889	21543740	21672034	128295	-	1088	upstream	1088	ECE1
chr1	21833617	21833902	286	*	X003479	249	21835858	21904905	69048	+	1955	upstream	1955	ALPL
chr1	21835332	21835466	135	*	X003480	249	21835858	21904905	69048	+	391	upstream	391	ALPL
chr1	21835617	21835655	39	*	X003481	249	21835858	21904905	69048	+	202	upstream	202	ALPL
chr1	21835968	21836069	102	*	X003482	249	21835858	21904905	69048	+	0	inside	109	ALPL
chr1	22470580	22470699	120	*	X003559	54361	22443798	22470385	26588	-	194	upstream	194	WNT4
chr1	22470921	22471087	167	*	X003560	54361	22443798	22470385	26588	-	535	upstream	535	WNT4
chr1	22471581	22471715	135	*	X003561	54361	22443798	22470385	26588	-	1195	upstream	1195	WNT4
chr1	22889455	22889574	120	*	X003768	2046	22890004	22930087	40084	+	429	upstream	429	EPHA8
chr1	22889665	22889740	76	*	X003769	2046	22890004	22930087	40084	+	263	upstream	263	EPHA8
chr1	22979690	22979767	78	*	X003844	713	22979682	22988029	8348	+	0	inside	7	C1QB
chr1	23036329	23036478	150	*	X003850	2048	23037331	23241823	204493	+	852	upstream	852	EPHB2
chr1	23043935	23044082	148	*	X003859	100616391	23046010	23046091	82	+	1927	upstream	1927	MIR4684
chr1	23504451	23504527	77	*	X003896	7798	23410516	23504301	93786	-	149	upstream	149	LUZP1
chr1	23695656	23695832	177	*	X003901	148898	23695464	23698330	2867	+	0	inside	191	ZNF436-AS1
chr1	24018563	24018697	135	*	X003932	6135	24018269	24022915	4647	+	0	inside	293	RPL11
chr1	24440252	24440379	128	*	X003945	127294	24382531	24438665	56135	-	1586	upstream	1586	MYOM3
chr1	24645555	24645592	38	*	X003969	57822	24645812	24690970	45159	+	219	upstream	219	GRHL3
chr1	24646095	24646214	120	*	X003970	57822	24645812	24690970	45159	+	0	inside	282	GRHL3
chr1	24828666	24828729	64	*	X003992	11123	24828841	24863510	34670	+	111	upstream	111	RCAN3
chr1	24828666	24828729	64	*	X003992	100750325	24822823	24828850	6028	-	0	inside	120	RCAN3AS
chr1	25665140	25665266	127	*	X004112	57035	25568740	25664656	95917	-	483	upstream	483	RSRP1
chr1	25665380	25665391	12	*	X004113	57035	25568740	25664656	95917	-	723	upstream	723	RSRP1
chr1	25943830	25943873	44	*	X004123	57134	25943959	26111258	167300	+	85	upstream	85	MAN1C1
chr1	25944197	25944257	61	*	X004124	57134	25943959	26111258	167300	+	0	inside	237	MAN1C1
chr1	26145954	26146012	59	*	X004175	56181	26146397	26159433	13037	+	384	upstream	384	MTFR1L
chr1	26146043	26146230	188	*	X004176	56181	26146397	26159433	13037	+	166	upstream	166	MTFR1L
chr1	26185386	26185760	375	*	X004177	79000	26160497	26185848	25352	-	0	inside	87	AUNIP
chr1	26186481	26186600	120	*	X004178	79000	26160497	26185848	25352	-	632	upstream	632	AUNIP
chr1	26324173	26324457	285	*	X004186	5051	26286258	26324648	38391	-	0	inside	190	PAFAH2
chr1	26347073	26347172	100	*	X004195	2134	26348271	26362954	14684	+	1098	upstream	1098	EXTL1
chr1	26347326	26347550	225	*	X004196	2134	26348271	26362954	14684	+	720	upstream	720	EXTL1
chr1	26347683	26347817	135	*	X004197	2134	26348271	26362954	14684	+	453	upstream	453	EXTL1
chr1	26372185	26372348	164	*	X004223	7780	26364514	26372604	8091	-	0	inside	255	SLC30A2
chr1	26372394	26372412	19	*	X004224	7780	26364514	26372604	8091	-	0	inside	191	SLC30A2
chr1	26372853	26372903	51	*	X004225	7780	26364514	26372604	8091	-	248	upstream	248	SLC30A2
chr1	26373218	26373518	301	*	X004226	7780	26364514	26372604	8091	-	613	upstream	613	SLC30A2
chr1	26393662	26393833	172	*	X004240	84676	26377796	26394125	16330	-	0	inside	291	TRIM63
chr1	26394374	26394512	139	*	X004241	84676	26377796	26394125	16330	-	248	upstream	248	TRIM63
chr1	26394696	26394848	153	*	X004242	84676	26377796	26394125	16330	-	570	upstream	570	TRIM63
chr1	26483542	26483637	96	*	X004259	79927	26485511	26489119	3609	+	1873	upstream	1873	FAM110D
chr1	26484597	26484836	240	*	X004260	79927	26485511	26489119	3609	+	674	upstream	674	FAM110D
chr1	26484937	26485071	135	*	X004261	79927	26485511	26489119	3609	+	439	upstream	439	FAM110D
chr1	26485437	26485571	135	*	X004262	79927	26485511	26489119	3609	+	0	overlapStart	0	FAM110D
